stem,leader,date,words,wer,mean_logprob,fear,anger,sadness,disgust,anticipation,trust,joy,surprise,positive,negative,net,nearest_event,outcome
1940-09-17_Churchill_32,Churchill,1940-09-17,1653,,-0.089,33.3,21.2,20.6,7.3,28.4,35.7,13.3,12.1,44.2,45.4,-1.2,The Blitz begins over London,defeat
1940-10-21_Churchill_33,Churchill,1940-10-21,41,,-1.773,0.0,122.0,0.0,0.0,170.7,170.7,170.7,122.0,170.7,0.0,170.7,Battle of Britain ends in RAF victory,victory
1940-10-21_Churchill_34,Churchill,1940-10-21,45,,-0.802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,0.0,22.2,Battle of Britain ends in RAF victory,victory
1940-10-21_Churchill_35,Churchill,1940-10-21,1137,,-0.253,25.5,24.6,14.1,13.2,31.7,33.4,22.0,9.7,47.5,45.7,1.8,Battle of Britain ends in RAF victory,victory
1940-12-01_Churchill_36,Churchill,1940-12-01,1668,,-0.262,38.4,25.2,19.8,9.6,37.8,38.4,24.6,11.4,58.8,45.0,13.8,Battle of Britain ends in RAF victory,victory
1940-12-23_Churchill_37,Churchill,1940-12-23,1894,,-0.229,37.0,25.9,19.5,6.9,16.9,40.1,11.6,6.3,47.5,55.4,-7.9,Battle of Britain ends in RAF victory,victory
1940-12-29_FDR_38,FDR,1940-12-29,4021,0.008,-0.103,49.2,31.3,15.4,8.2,28.4,47.3,17.4,9.7,65.2,53.0,12.2,Battle of Britain ends in RAF victory,victory
1940-12-30_Churchill_39,Churchill,1940-12-30,1530,,-0.23,45.1,31.4,20.3,12.4,28.8,38.6,22.2,11.8,71.2,46.4,24.8,Battle of Britain ends in RAF victory,victory
1941-02-09_Churchill_40,Churchill,1941-02-09,4214,0.656,-0.199,36.5,26.3,16.6,8.3,27.3,36.5,18.5,10.4,52.0,44.6,7.4,Lend-Lease Act signed,context
1941-02-09_Churchill_41,Churchill,1941-02-09,1548,0.907,-0.285,40.7,25.2,18.7,12.3,33.6,44.6,23.9,11.6,60.7,52.3,8.4,Lend-Lease Act signed,context
1941-04-27_Churchill_42,Churchill,1941-04-27,3249,,-0.142,37.6,27.1,20.9,12.6,28.6,37.2,19.4,11.7,55.1,53.9,1.2,Lend-Lease Act signed,context
1941-06-12_Churchill_43,Churchill,1941-06-12,656,,-0.468,29.0,22.9,24.4,13.7,27.4,33.5,24.4,9.1,56.4,44.2,12.2,Germany invades the Soviet Union,mixed
1941-06-12_Churchill_44,Churchill,1941-06-12,2200,,-0.2,41.4,32.7,28.6,20.0,25.9,38.6,21.8,12.3,58.2,64.5,-6.3,Germany invades the Soviet Union,mixed
1941-06-16_Churchill_45,Churchill,1941-06-16,310,,-0.153,54.8,35.5,51.6,16.1,38.7,51.6,29.0,12.9,77.4,90.3,-12.9,Germany invades the Soviet Union,mixed
1941-06-22_Churchill_46,Churchill,1941-06-22,2021,,-0.175,44.5,30.7,23.8,16.8,24.2,39.6,20.8,13.9,56.4,62.8,-6.4,Germany invades the Soviet Union,mixed
1941-07-14_Churchill_47,Churchill,1941-07-14,651,,-0.18,44.5,29.2,27.6,12.3,24.6,36.9,15.4,9.2,55.3,61.4,-6.1,Germany invades the Soviet Union,mixed
1941-07-14_Churchill_48,Churchill,1941-07-14,736,,-0.212,43.5,31.2,25.8,12.2,31.2,36.7,17.7,12.2,59.8,62.5,-2.7,Germany invades the Soviet Union,mixed
1941-07-29_Churchill_49,Churchill,1941-07-29,1557,,-0.193,40.5,28.3,18.6,11.6,23.1,45.6,19.9,14.8,64.2,57.8,6.4,Germany invades the Soviet Union,mixed
1941-07-29_Churchill_50,Churchill,1941-07-29,1547,,-0.129,40.1,29.7,20.7,11.6,23.9,44.6,20.0,14.9,64.6,58.8,5.8,Germany invades the Soviet Union,mixed
1941-08-14_Churchill_51,Churchill,1941-08-14,392,,-0.168,33.2,28.1,5.1,2.6,33.2,66.3,30.6,7.7,74.0,33.2,40.8,Germany invades the Soviet Union,mixed
1941-08-14_Churchill_52,Churchill,1941-08-14,369,,-0.152,37.9,29.8,5.4,2.7,37.9,73.2,35.2,10.8,84.0,37.9,46.1,Germany invades the Soviet Union,mixed
1941-08-24_Churchill_53,Churchill,1941-08-24,1639,,-0.283,27.5,12.8,17.7,4.9,31.1,47.0,20.1,7.9,61.0,37.2,23.8,Germany invades the Soviet Union,mixed
1941-08-24_Churchill_54,Churchill,1941-08-24,3467,,-0.228,36.1,26.0,23.4,11.0,32.3,42.4,24.2,15.6,64.6,47.9,16.7,Germany invades the Soviet Union,mixed
1941-08-29_Churchill_55,Churchill,1941-08-29,584,,-0.16,24.0,17.1,10.3,5.1,25.7,36.0,20.5,12.0,51.4,37.7,13.7,Germany invades the Soviet Union,mixed
1941-09-09_Churchill_56,Churchill,1941-09-09,3116,,-0.129,30.8,16.0,13.2,5.5,26.0,37.5,19.3,8.7,60.3,35.3,25.0,Germany invades the Soviet Union,mixed
1941-09-09_Churchill_57,Churchill,1941-09-09,3093,,-0.126,31.4,15.2,13.6,6.1,24.2,37.8,18.4,7.8,61.1,35.2,25.9,Germany invades the Soviet Union,mixed
1941-09-11_FDR_58,FDR,1941-09-11,3023,0.025,-0.118,50.9,35.7,17.9,8.9,33.4,38.0,12.9,6.6,52.3,54.6,-2.3,Germany invades the Soviet Union,mixed
1941-10-29_Churchill_59,Churchill,1941-10-29,598,,-0.101,23.4,16.7,10.0,6.7,25.1,35.1,20.1,11.7,48.5,40.1,8.4,Attack on Pearl Harbor,defeat
1941-11-07_Churchill_60,Churchill,1941-11-07,420,,-0.177,38.1,23.8,33.3,16.7,31.0,26.2,14.3,14.3,45.2,61.9,-16.7,Attack on Pearl Harbor,defeat
1941-11-07_Churchill_61,Churchill,1941-11-07,467,,-0.125,38.5,23.6,32.1,15.0,30.0,23.6,12.8,12.8,47.1,62.1,-15.0,Attack on Pearl Harbor,defeat
1941-11-29_Churchill_62,Churchill,1941-11-29,585,,-0.109,23.9,17.1,10.3,5.1,22.2,32.5,18.8,8.5,49.6,37.6,12.0,Attack on Pearl Harbor,defeat
1941-12-08_Churchill_63,Churchill,1941-12-08,1973,,-0.187,36.0,19.3,10.1,5.6,25.3,33.5,12.2,7.1,49.2,46.1,3.1,United States declares war on Japan,context
1941-12-08_Churchill_64,Churchill,1941-12-08,435,,-0.203,23.0,13.8,6.9,4.6,27.6,32.2,6.9,4.6,39.1,46.0,-6.9,United States declares war on Japan,context
1941-12-09_FDR_65,FDR,1941-12-09,3039,0.024,-0.083,47.4,34.9,19.1,14.8,29.0,41.5,19.1,9.9,57.6,52.6,5.0,United States declares war on Japan,context
1941-12-24_Churchill_66,Churchill,1941-12-24,480,,-0.398,20.8,20.8,16.7,18.8,45.8,50.0,58.3,16.7,100.0,37.5,62.5,Germany and Italy declare war on the United States,context
1941-12-24_Churchill_67,Churchill,1941-12-24,447,,-0.135,22.4,17.9,20.1,13.4,44.7,47.0,58.2,11.2,96.2,38.0,58.2,Germany and Italy declare war on the United States,context
1941-12-30_Churchill_68,Churchill,1941-12-30,3374,,-0.385,45.3,34.4,19.3,14.8,29.3,35.3,21.0,12.4,65.8,55.7,10.1,Germany and Italy declare war on the United States,context
1942-02-15_Churchill_69,Churchill,1942-02-15,3010,,-0.127,39.9,30.9,22.3,12.6,25.2,38.2,18.6,11.6,51.2,53.2,-2.0,Fall of Singapore,defeat
1942-02-23_FDR_70,FDR,1942-02-23,4218,0.035,-0.179,36.7,29.2,18.0,11.4,23.9,37.0,15.4,6.2,64.5,46.0,18.5,Fall of Singapore,defeat
1942-04-28_FDR_71,FDR,1942-04-28,3870,0.056,-0.167,46.0,29.7,23.0,9.3,27.1,38.8,21.4,15.8,60.5,53.2,7.3,Battle of Midway,victory
1942-05-10_Churchill_72,Churchill,1942-05-10,1592,,-0.103,35.8,28.3,25.1,9.4,32.0,39.6,23.2,15.1,59.7,54.0,5.7,Battle of Midway,victory
1942-09-07_FDR_73,FDR,1942-09-07,3152,0.043,-0.128,34.3,24.1,24.4,9.8,29.8,31.1,17.4,11.7,51.4,50.1,1.3,Guadalcanal campaign begins,victory
1942-11-10_Churchill_74,Churchill,1942-11-10,355,,-0.411,50.7,42.3,33.8,19.7,33.8,47.9,25.4,11.3,78.9,64.8,14.1,Second Battle of El Alamein ends,victory
1942-11-10_Churchill_75,Churchill,1942-11-10,382,,-0.21,49.7,39.3,36.6,18.3,28.8,41.9,23.6,7.9,70.7,65.4,5.3,Second Battle of El Alamein ends,victory
1943-03-21_Churchill_76,Churchill,1943-03-21,6198,,-0.235,25.8,15.0,12.6,6.3,39.9,53.6,28.2,14.4,78.6,38.6,40.0,German surrender at Stalingrad,victory
1943-05-02_FDR_77,FDR,1943-05-02,2490,0.037,-0.146,29.3,21.7,12.4,6.0,23.3,41.4,16.1,8.4,62.2,45.0,17.2,Axis surrender in Tunisia,victory
1943-05-19_Churchill_78,Churchill,1943-05-19,5629,,-0.273,41.9,24.9,18.3,13.5,27.5,39.8,19.7,11.2,66.1,51.0,15.1,Axis surrender in Tunisia,victory
1943-05-19_Churchill_79,Churchill,1943-05-19,1071,,-0.164,43.9,26.1,22.4,15.9,27.1,44.8,22.4,12.1,73.8,60.7,13.1,Axis surrender in Tunisia,victory
1943-06-30_Churchill_80,Churchill,1943-06-30,1394,,-0.137,45.9,30.8,24.4,14.3,26.5,37.3,23.7,10.0,58.8,57.4,1.4,Allied invasion of Sicily,victory
1943-06-30_Churchill_81,Churchill,1943-06-30,2756,,-0.135,36.6,22.1,18.1,9.1,28.3,36.3,26.1,11.2,63.5,47.5,16.0,Allied invasion of Sicily,victory
1943-07-28_FDR_82,FDR,1943-07-28,3418,0.047,-0.212,38.9,26.6,13.5,5.9,31.9,46.5,18.7,6.4,67.9,50.9,17.0,Allied invasion of Sicily,victory
1943-08-31_Churchill_83,Churchill,1943-08-31,1330,,-0.143,29.3,13.5,12.8,5.3,30.8,38.3,30.8,12.8,70.7,39.1,31.6,Italy announces armistice,victory
1943-09-06_Churchill_84,Churchill,1943-09-06,1686,,-0.232,21.4,14.8,6.5,3.6,27.9,42.7,23.7,15.4,76.5,27.3,49.2,Italy announces armistice,victory
1943-09-06_Churchill_85,Churchill,1943-09-06,1659,,-0.154,22.9,15.1,7.2,4.2,28.3,44.6,22.3,14.5,74.7,28.3,46.4,Italy announces armistice,victory
1943-09-08_FDR_86,FDR,1943-09-08,1436,0.031,-0.187,41.1,29.2,11.8,15.3,42.5,51.5,31.3,14.6,74.5,46.0,28.5,Italy announces armistice,victory
1943-10-28_Churchill_87,Churchill,1943-10-28,1645,,-0.113,29.8,15.2,17.6,7.9,23.1,37.1,14.6,7.9,59.6,36.5,23.1,Tehran Conference concludes,context
1943-10-28_Churchill_88,Churchill,1943-10-28,1664,,-0.162,31.2,16.2,18.6,9.0,24.6,36.7,14.4,7.8,58.3,38.5,19.8,Tehran Conference concludes,context
1944-01-11_FDR_89,FDR,1944-01-11,3469,0.049,-0.213,36.3,21.9,19.3,9.5,33.7,55.3,24.5,9.8,71.8,51.9,19.9,Tehran Conference concludes,context
1944-03-26_Churchill_90,Churchill,1944-03-26,5687,,-0.215,36.9,22.0,17.6,8.4,31.8,35.5,21.6,12.5,64.2,46.9,17.3,D-Day Normandy landings,victory
1944-06-05_FDR_91,FDR,1944-06-05,1719,0.071,-0.169,26.2,18.6,19.2,4.7,36.6,38.4,24.4,10.5,69.2,36.1,33.1,D-Day Normandy landings,victory
1944-06-12_FDR_92,FDR,1944-06-12,1609,0.038,-0.102,47.2,34.2,15.5,7.5,33.6,31.7,19.9,6.2,59.7,57.8,1.9,D-Day Normandy landings,victory
1944-11-09_Churchill_93,Churchill,1944-11-09,1126,,-0.21,35.5,22.2,15.1,9.8,30.2,27.5,17.8,12.4,54.2,42.6,11.6,US forces land at Leyte,victory
1944-11-09_Churchill_94,Churchill,1944-11-09,1156,,-0.207,29.4,16.4,11.2,7.8,31.1,26.8,16.4,11.2,50.2,36.3,13.9,US forces land at Leyte,victory
1944-11-23_Churchill_95,Churchill,1944-11-23,294,,-0.247,37.4,10.2,17.0,3.4,27.2,40.8,30.6,30.6,81.6,37.4,44.2,Battle of the Bulge begins,defeat
1944-11-23_Churchill_96,Churchill,1944-11-23,282,,-0.31,42.6,7.1,17.7,3.5,31.9,42.6,31.9,24.8,81.6,42.6,39.0,Battle of the Bulge begins,defeat
1945-03-25_Churchill_97,Churchill,1945-03-25,227,,-0.231,30.8,26.4,8.8,0.0,0.0,8.8,0.0,0.0,17.6,44.1,-26.5,Battle of Okinawa begins,victory
1945-05-08_Churchill_98,Churchill,1945-05-08,224,,-0.401,17.9,13.4,8.9,8.9,26.8,40.2,40.2,22.3,62.5,35.7,26.8,Victory in Europe Day,victory
1945-05-08_Churchill_99,Churchill,1945-05-08,691,,-0.213,44.9,24.6,20.3,14.5,30.4,43.4,27.5,10.1,65.1,47.8,17.3,Victory in Europe Day,victory
1945-05-08_Churchill_100,Churchill,1945-05-08,611,,-0.134,34.4,21.3,14.7,11.5,18.0,37.6,19.6,9.8,60.6,37.6,23.0,Victory in Europe Day,victory
